50 70
33 36 39
15 43 40
36 42 45
21 12 49
40 9 50
26 40 45
22 36 47
18 17 39
32 30 35
23 17 49
29 2 33
8 19 39
43 6 46
42 29 48
21 19 50
37 48 32
15 20 47
26 41 38
6 23 41
20 46 40
5 25 41
27 36 35
46 29 40
7 24 33
32 45 47
17 34 44
43 0 37
8 26 44
38 34 30
1 4 31
32 10 35
18 39 31
26 36 48
39 45 37
34 28 38
1 47 50
17 42 43
6 1 32
36 41 30
39 44 38
40 29 33
17 47 41
31 25 45
27 17 40
47 3 45
15 6 38
19 24 37
21 32 41
3 19 33
18 8 47
40 49 48
23 18 49
46 1 34
5 29 31
14 28 43
34 14 48
14 37 38
43 41 47
15 9 37
32 1 44
28 25 32
24 21 44
45 29 34
35 43 47
28 43 33
28 29 50
4 43 46
13 38 44
40 4 46
28 38 36
