200 270
183 86 39
115 193 40
186 92 45
21 162 49
90 59 50
126 140 45
172 136 47
168 167 39
182 130 35
123 67 49
129 2 33
58 69 39
193 56 46
42 29 48
21 119 50
137 198 32
115 170 47
126 91 38
156 73 41
170 196 40
105 125 41
127 136 35
46 129 40
57 124 33
182 145 47
167 34 44
43 150 37
8 76 44
188 184 30
51 154 31
132 60 35
168 139 31
26 186 48
139 195 37
34 178 38
1 97 50
117 92 43
156 101 32
86 41 30
89 44 38
40 129 33
117 97 41
81 75 45
127 167 40
97 153 45
165 106 38
19 24 37
71 132 41
103 19 33
168 108 47
140 149 48
123 18 49
46 51 34
155 179 31
164 28 43
150 193 43
34 164 48
114 187 38
143 91 47
165 59 37
32 151 44
28 75 32
74 121 44
195 29 34
35 193 47
28 143 33
128 129 50
4 43 46
13 138 44
40 104 46
128 88 36
124 143 36
183 90 50
172 125 43
190 105 32
154 186 48
82 142 50
197 107 30
4 148 32
22 28 50
143 146 38
140 22 38
10 5 31
61 130 37
105 120 47
44 26 33
65 108 49
82 58 44
37 62 32
0 36 41
99 179 40
68 71 33
131 81 31
133 94 40
163 199 35
99 196 33
173 13 39
190 95 41
66 84 33
90 84 33
142 136 43
45 156 31
18 87 41
148 172 30
9 136 32
142 187 30
101 113 36
121 55 50
199 121 32
139 11 41
67 105 36
127 150 48
58 120 40
22 69 35
81 30 38
92 172 47
50 25 39
22 99 34
42 98 44
98 190 33
190 9 48
19 136 42
155 194 31
179 169 45
176 50 46
60 142 41
84 193 34
21 167 50
13 161 35
126 59 37
184 21 36
68 128 46
72 108 30
98 36 30
153 48 48
90 154 34
146 168 30
100 46 48
197 49 34
103 33 36
97 53 31
86 125 47
196 175 50
157 129 46
60 14 30
60 104 32
27 50 32
156 102 44
97 99 49
39 2 42
3 100 35
47 138 49
151 135 35
139 92 30
127 104 47
49 164 44
29 143 43
177 100 46
171 149 36
167 188 42
195 143 42
29 190 33
140 141 33
26 32 44
42 160 36
23 161 45
109 190 30
196 167 32
34 90 49
168 5 35
112 186 49
146 126 39
116 152 42
129 146 34
47 170 36
80 31 46
57 27 47
86 14 31
112 90 39
79 10 37
189 74 32
41 20 39
187 88 43
166 170 43
56 17 33
60 49 50
5 59 41
118 145 42
73 58 41
37 89 46
7 78 48
114 71 48
100 59 32
38 25 30
74 33 49
81 93 39
70 99 43
39 169 40
22 194 46
47 31 31
82 190 38
191 57 42
121 157 34
91 147 43
31 21 32
140 54 50
98 125 46
31 139 47
4 138 40
18 21 45
62 12 39
177 85 35
104 176 42
7 159 30
144 99 45
160 18 32
163 49 47
111 5 50
91 175 41
14 189 34
193 118 42
82 22 31
117 30 33
174 126 31
86 53 50
74 14 39
179 177 33
175 88 42
110 132 48
17 146 32
137 91 31
143 173 47
125 91 50
18 17 42
163 55 43
58 130 45
171 61 33
85 189 45
4 51 50
50 68 38
85 6 42
39 149 41
167 26 49
77 196 45
65 160 41
155 170 30
11 142 35
196 179 30
70 184 34
27 34 37
83 72 40
30 63 38
150 30 49
114 59 33
47 124 36
35 32 49
154 43 44
86 40 43
159 62 36
83 41 37
123 124 49
122 154 33
21 57 48
147 171 47
69 18 47
103 53 35
107 159 45
6 197 39
84 108 30
98 191 39
