500 590
383 386 39
415 293 40
386 492 45
421 362 49
190 59 50
426 40 45
172 236 47
368 67 39
282 30 35
123 67 49
429 302 33
58 69 39
393 456 46
42 229 48
421 419 50
37 198 32
315 370 47
26 91 38
456 373 41
170 496 40
305 425 41
327 336 35
346 229 40
357 124 33
82 45 47
367 434 44
43 250 37
308 276 44
288 84 30
151 254 31
432 60 35
368 239 31
226 86 48
39 295 37
434 378 38
101 97 50
317 492 43
256 301 32
286 441 30
189 444 38
440 229 33
117 97 41
481 175 45
427 67 40
497 353 45
465 306 38
219 124 37
371 232 41
3 19 33
368 208 47
340 149 48
223 118 49
346 451 34
55 379 31
264 228 43
350 193 43
34 264 48
414 487 38
243 491 47
365 359 37
432 51 44
228 275 32
474 121 44
395 29 34
235 293 47
428 143 33
428 29 50
404 443 46
113 38 44
340 404 46
128 188 36
324 243 36
183 490 50
272 225 43
90 5 32
454 286 48
82 42 50
197 7 30
304 348 32
122 328 50
343 246 38
340 422 38
310 105 31
161 230 37
305 320 47
444 126 33
465 208 49
282 258 44
137 62 32
100 36 41
399 379 40
468 71 33
131 381 31
433 394 40
163 199 35
399 496 33
273 313 39
190 95 41
466 84 33
90 184 33
42 436 43
445 256 31
418 387 41
348 172 30
9 336 32
342 87 30
301 213 36
321 255 50
99 221 32
439 311 41
167 205 36
127 150 48
158 420 40
422 269 35
81 130 38
292 472 47
350 125 39
222 299 34
42 398 44
298 190 33
90 209 48
319 336 42
155 494 31
379 269 45
276 350 46
360 142 41
384 493 34
121 67 50
113 461 35
326 259 37
284 21 36
368 28 46
372 408 30
498 36 30
253 248 48
333 133 41
390 254 34
246 368 30
0 46 48
297 249 34
303 33 36
497 253 31
186 125 47
496 475 50
157 229 46
460 414 30
460 304 32
27 50 32
56 402 44
197 199 49
39 2 42
403 0 35
147 38 49
151 35 35
339 192 30
127 4 47
49 464 44
429 343 43
177 400 46
471 449 36
367 488 42
295 243 42
329 390 33
340 41 33
326 232 44
42 360 36
23 261 45
309 190 30
496 367 32
234 190 49
24 57 41
168 205 35
312 386 49
346 226 39
416 52 42
29 446 34
147 470 36
80 131 46
357 127 47
386 214 31
12 90 39
479 110 37
189 274 32
141 120 39
487 388 43
66 270 43
356 417 33
260 349 50
205 59 41
18 445 42
373 458 41
137 289 46
107 478 48
314 471 48
100 459 32
438 25 30
74 233 49
181 493 39
270 199 43
339 69 40
122 294 46
347 431 31
182 390 38
291 57 42
21 157 34
491 447 43
231 21 32
240 54 50
98 325 46
231 139 47
404 338 40
218 21 45
362 312 39
477 185 35
404 176 42
207 259 30
244 499 45
127 450 44
60 318 32
63 49 47
211 305 50
291 375 41
114 89 34
493 418 42
382 322 31
217 30 33
74 126 31
486 253 50
74 314 39
179 377 33
275 88 42
210 232 48
17 346 32
137 191 31
443 73 47
425 291 50
18 217 42
463 55 43
358 130 45
71 161 33
185 289 45
104 351 50
250 368 38
485 6 42
139 449 41
467 226 49
177 96 45
365 60 41
455 270 30
211 342 35
196 379 30
270 484 34
427 234 37
283 72 40
330 63 38
450 30 49
214 59 33
47 424 36
435 232 49
454 443 44
486 140 43
159 262 36
183 41 37
223 324 49
122 154 33
321 457 48
247 171 47
269 218 47
203 153 35
407 459 45
306 297 39
84 308 30
198 491 39
398 215 48
171 189 50
6 10 34
224 109 39
0 378 38
53 81 40
338 489 45
67 147 37
287 231 35
122 281 39
350 179 41
254 350 45
313 357 41
181 81 45
220 433 41
181 487 50
296 325 34
222 392 45
297 32 33
181 6 46
57 208 48
499 462 34
483 276 34
477 309 39
432 382 48
266 63 31
182 211 37
86 285 37
490 83 39
476 116 46
392 25 42
339 25 45
136 360 32
143 337 49
82 121 39
455 388 50
315 70 33
353 8 41
283 350 39
97 327 30
269 71 45
149 410 30
139 398 42
110 393 48
390 476 43
52 431 35
277 99 45
66 452 31
141 235 33
298 184 30
276 305 37
428 454 49
308 93 49
197 55 43
274 445 35
325 497 43
412 127 48
421 193 34
439 334 48
159 485 36
354 261 35
472 41 34
352 350 47
482 399 33
154 173 30
6 351 45
290 263 37
172 37 47
359 328 45
280 487 38
90 341 45
352 165 40
69 17 44
83 351 44
300 6 42
167 364 48
32 154 44
375 179 46
412 38 32
136 170 47
344 260 47
314 465 39
326 386 38
39 469 43
152 121 43
290 289 41
131 173 35
235 48 36
377 313 32
