600 690
583 286 39
115 593 40
586 492 45
421 362 49
290 259 50
526 540 45
172 136 47
368 567 39
182 530 35
523 67 49
329 402 33
258 269 39
193 256 46
442 429 48
21 119 50
337 398 32
515 570 47
526 91 38
356 273 41
170 196 40
105 525 41
327 536 35
46 129 40
257 324 33
582 345 47
567 434 44
243 350 37
408 276 44
188 384 30
251 554 31
132 60 35
168 139 31
226 186 48
539 195 37
434 178 38
201 497 50
117 492 43
356 301 32
86 241 30
89 244 38
40 129 33
517 297 41
81 275 45
127 567 40
497 153 45
365 106 38
419 224 37
471 332 41
303 419 33
168 508 47
340 549 48
323 218 49
446 51 34
155 179 31
164 428 43
350 193 43
434 364 48
514 587 38
543 291 47
565 459 37
232 551 44
28 275 32
474 121 44
595 29 34
435 193 47
428 543 33
528 129 50
4 43 46
413 338 44
40 304 46
528 288 36
117 317 36
524 543 36
383 290 50
172 125 43
390 305 32
554 586 48
482 342 50
397 507 30
4 548 32
422 228 50
543 346 38
340 22 38
10 405 31
61 330 37
305 120 47
244 426 33
65 308 49
282 458 44
237 462 32
0 36 41
299 579 40
68 71 33
131 81 31
133 494 40
363 199 35
299 196 33
573 13 39
590 295 41
266 284 33
490 284 33
342 336 43
45 156 31
18 287 41
148 172 30
9 536 32
342 587 30
501 313 36
121 55 50
199 321 32
139 211 41
467 305 36
527 350 48
58 120 40
22 269 35
481 30 38
292 372 47
50 25 39
422 499 34
242 98 44
98 590 33
590 209 48
219 136 42
355 194 31
179 569 45
176 450 46
460 142 41
484 193 34
221 367 50
13 361 35
126 459 37
584 421 36
468 528 46
472 108 30
498 36 30
553 248 48
90 354 34
546 368 30
500 246 48
197 449 34
103 433 36
497 53 31
486 525 47
196 175 50
357 129 46
60 14 30
60 104 32
427 50 32
556 302 44
297 499 49
239 2 42
3 500 35
47 138 49
551 335 35
139 92 30
327 504 47
49 564 44
229 143 43
177 100 46
371 149 36
167 388 42
395 143 42
429 190 33
140 141 33
26 32 44
42 360 36
423 161 45
309 390 30
596 567 32
234 90 49
124 257 41
368 405 35
512 586 49
546 126 39
316 152 42
529 546 34
47 370 36
480 431 46
457 427 47
286 414 31
512 290 39
279 410 37
189 74 32
41 20 39
387 88 43
166 370 43
56 417 33
460 49 50
405 259 41
318 545 42
73 458 41
437 489 46
7 78 48
514 471 48
300 259 32
238 425 30
474 233 49
481 93 39
70 499 43
439 569 40
22 394 46
247 231 31
282 590 38
391 257 42
521 557 34
491 547 43
231 421 32
140 54 50
98 125 46
231 339 47
4 338 40
18 21 45
462 412 39
177 85 35
504 576 42
407 559 30
544 99 45
527 550 44
160 18 32
363 249 47
111 5 50
91 375 41
414 589 34
393 518 42
82 422 31
317 230 33
374 526 31
486 453 50
474 14 39
179 377 33
575 488 42
110 332 48
17 146 32
337 291 31
143 373 47
525 91 50
18 217 42
563 455 43
458 330 45
371 261 33
285 589 45
204 451 50
250 468 38
285 206 42
239 349 41
367 26 49
477 396 45
265 360 41
155 570 30
411 342 35
196 379 30
470 584 34
227 234 37
483 272 40
430 263 38
150 30 49
314 259 33
447 524 36
435 432 49
154 243 44
486 440 43
559 62 36
483 41 37
523 524 49
522 354 33
21 257 48
147 571 47
69 418 47
103 253 35
107 159 45
206 397 39
84 108 30
298 591 39
498 515 48
371 189 50
506 210 34
424 109 39
0 178 38
453 281 40
138 389 45
67 347 37
187 431 35
122 481 39
450 379 41
454 150 45
213 57 41
581 481 45
320 233 41
581 87 50
496 225 34
322 292 45
297 232 33
381 106 46
457 308 48
199 162 34
483 376 34
377 109 39
132 182 48
66 163 31
282 411 37
286 485 37
390 183 39
76 316 46
492 525 42
439 125 45
536 360 32
443 137 49
582 21 39
355 88 50
215 370 33
53 408 41
183 550 39
297 27 30
269 271 45
549 110 30
39 398 42
10 593 48
90 576 43
352 331 35
177 299 45
166 352 31
41 535 33
98 584 30
576 5 37
28 554 49
308 593 49
597 355 43
174 445 35
125 197 43
412 127 48
221 293 34
439 334 48
359 185 36
554 161 35
172 541 34
252 250 47
482 599 33
354 173 30
306 51 45
590 463 37
572 437 47
59 28 45
80 387 38
190 341 45
552 265 40
269 517 44
83 151 44
500 506 42
267 564 48
232 554 44
75 279 46
212 338 32
436 170 47
244 360 47
214 65 39
126 86 38
39 169 43
552 421 43
390 89 41
31 73 35
135 148 36
77 113 32
398 549 35
155 193 34
356 160 33
223 286 33
358 77 34
45 381 35
590 523 37
500 554 30
364 442 47
259 519 35
244 69 35
151 576 49
419 333 32
504 556 34
75 66 47
167 112 44
329 102 35
331 2 38
407 118 48
383 377 37
472 373 50
262 525 38
597 96 39
141 353 41
74 180 30
85 348 37
230 429 50
298 160 44
424 319 39
41 102 43
280 326 35
589 340 41
523 338 40
293 231 36
20 305 30
413 391 48
70 21 30
429 71 45
543 495 31
424 288 45
186 569 48
569 310 47
30 233 35
187 279 38
449 299 35
539 464 48
130 286 43
149 115 48
81 411 47
333 587 38
87 173 47
519 142 31
444 524 37
459 463 34
353 312 31
305 4 30
399 134 34
515 35 43
453 469 47
287 202 37
162 289 45
5 560 32
511 157 32
403 16 30
221 122 34
443 179 39
528 578 45
300 245 50
187 99 45
589 386 31
26 548 42
236 306 34
92 217 44
121 20 33
366 594 48
323 437 35
284 117 32
131 417 47
365 356 41
469 345 50
422 371 35
169 359 38
476 452 35
340 325 32
572 91 33
327 166 39
12 450 49
524 333 43
186 99 34
194 568 37
341 142 38
437 63 31
590 539 37
113 31 39
257 4 32
146 83 43
225 95 35
421 372 46
434 558 34
556 152 30
72 246 35
311 83 42
61 425 32
