400 600
183 86 39
115 193 40
186 92 45
221 362 49
290 59 50
326 140 45
372 136 47
168 167 39
182 330 35
323 67 49
329 202 33
258 269 39
193 56 46
42 229 48
21 119 50
137 398 32
315 370 47
326 91 38
356 273 41
370 196 40
305 125 41
327 336 35
46 129 40
257 124 33
382 145 47
167 234 44
43 150 37
8 76 44
188 384 30
251 354 31
332 260 35
168 139 31
226 186 48
339 395 37
234 378 38
201 97 50
117 92 43
356 101 32
286 241 30
89 44 38
40 329 33
117 97 41
81 275 45
127 167 40
297 353 45
165 106 38
219 224 37
71 132 41
303 19 33
168 108 47
340 149 48
323 218 49
46 251 34
355 379 31
164 228 43
350 393 43
234 164 48
114 187 38
143 91 47
365 259 37
232 151 44
28 75 32
274 121 44
395 29 34
235 193 47
28 143 33
328 329 50
4 43 46
213 138 44
40 104 46
328 288 36
124 143 36
183 90 50
172 325 43
390 305 32
154 186 48
82 142 50
197 307 30
4 348 32
22 228 50
143 146 38
340 222 38
210 5 31
61 130 37
105 120 47
244 226 33
265 308 49
282 58 44
37 62 32
200 36 41
299 179 40
268 71 33
331 281 31
133 294 40
163 399 35
99 196 33
173 13 39
390 295 41
66 284 33
90 84 33
342 336 43
245 156 31
18 87 41
148 172 30
9 336 32
342 387 30
101 113 36
121 55 50
199 121 32
339 211 41
67 105 36
327 350 48
258 320 40
22 69 35
81 30 38
92 372 47
250 25 39
22 99 34
42 298 44
298 190 33
190 209 48
19 136 42
355 394 31
379 369 45
176 50 46
260 142 41
284 393 34
21 367 50
213 361 35
126 259 37
202 2 32
384 21 36
68 328 46
72 308 30
98 36 30
153 248 48
90 154 34
146 368 30
100 46 48
197 249 34
103 233 36
97 253 31
86 325 47
396 375 50
357 129 46
60 214 30
60 304 32
27 50 32
356 102 44
97 299 49
239 2 42
3 100 35
47 138 49
351 135 35
339 92 30
127 104 47
49 164 44
29 143 43
377 100 46
371 149 36
167 388 42
195 343 42
29 390 33
140 341 33
226 232 44
42 360 36
23 361 45
309 390 30
196 367 32
234 290 49
124 57 41
368 205 35
312 186 49
346 326 39
116 152 42
329 146 34
247 170 36
280 31 46
57 227 47
286 14 31
312 90 39
279 10 37
189 274 32
41 220 39
187 288 43
166 170 43
56 17 33
260 249 50
5 259 41
118 145 42
73 58 41
37 289 46
207 78 48
114 71 48
300 259 32
238 25 30
274 33 49
81 293 39
270 299 43
239 369 40
222 394 46
247 31 31
282 190 38
191 257 42
321 157 34
291 347 43
31 221 32
140 254 50
98 125 46
231 139 47
204 338 40
18 221 45
262 12 39
177 285 35
304 176 42
7 159 30
144 299 45
127 350 44
360 218 32
163 49 47
311 205 50
91 175 41
14 389 34
193 118 42
82 22 31
317 30 33
374 126 31
286 253 50
274 214 39
179 377 33
175 288 42
110 332 48
217 346 32
337 91 31
343 173 47
125 91 50
18 17 42
163 255 43
258 130 45
171 261 33
85 389 45
204 51 50
50 268 38
285 206 42
239 149 41
167 226 49
77 196 45
65 360 41
355 170 30
11 342 35
396 379 30
270 184 34
27 234 37
83 72 40
230 263 38
150 30 49
114 59 33
47 124 36
235 32 49
154 43 44
286 40 43
