800 1000
583 486 39
115 593 40
586 492 45
621 762 49
690 59 50
326 540 45
372 536 47
168 167 39
182 730 35
323 467 49
329 602 33
658 269 39
593 56 46
442 229 48
421 119 50
137 798 32
715 370 47
326 91 38
756 273 41
770 596 40
705 125 41
327 336 35
446 129 40
257 124 33
382 545 47
567 234 44
43 150 37
408 476 44
588 784 30
251 754 31
732 660 35
568 539 31
226 186 48
739 795 37
234 378 38
201 497 50
517 92 43
756 501 32
286 641 30
89 444 38
40 729 33
117 497 41
81 275 45
527 567 40
297 353 45
165 106 38
619 624 37
71 132 41
703 419 33
168 508 47
740 549 48
723 218 49
446 651 34
355 379 31
164 228 43
350 393 43
234 564 48
114 187 38
143 91 47
365 259 37
232 551 44
28 475 32
674 121 44
795 29 34
235 193 47
28 543 33
728 329 50
4 443 46
213 138 44
40 504 46
728 288 36
717 317 36
124 543 36
183 90 50
172 325 43
390 705 32
554 186 48
482 542 50
597 307 30
4 348 32
22 628 50
143 546 38
740 222 38
210 405 31
61 130 37
105 520 47
244 626 33
265 308 49
282 458 44
437 462 32
200 36 41
699 179 40
268 471 33
731 681 31
133 294 40
563 399 35
99 196 33
173 13 39
790 295 41
466 284 33
490 484 33
342 736 43
645 556 31
18 487 41
148 172 30
409 736 32
742 387 30
101 113 36
121 455 50
599 121 32
739 611 41
467 505 36
727 350 48
658 720 40
22 69 35
481 30 38
92 772 47
250 425 39
422 99 34
442 698 44
298 190 33
190 209 48
19 136 42
755 794 31
379 369 45
176 50 46
260 142 41
284 393 34
421 367 50
213 361 35
126 659 37
202 402 32
784 421 36
468 728 46
72 308 30
98 36 30
153 648 48
533 133 41
90 554 34
546 768 30
100 446 48
197 649 34
503 633 36
497 653 31
486 725 47
396 375 50
357 529 46
460 614 30
60 704 32
27 450 32
356 102 44
97 299 49
239 2 42
3 500 35
47 538 49
751 135 35
339 492 30
127 504 47
49 564 44
429 143 43
777 500 46
771 149 36
167 388 42
195 743 42
429 790 33
140 741 33
226 632 44
42 760 36
23 361 45
709 790 30
596 767 32
234 290 49
524 457 41
368 205 35
712 186 49
346 326 39
116 552 42
729 146 34
247 170 36
680 431 46
457 227 47
286 14 31
712 90 39
279 10 37
589 274 32
441 620 39
587 288 43
566 570 43
56 17 33
260 249 50
5 259 41
518 545 42
73 458 41
437 289 46
207 78 48
514 71 48
700 659 32
638 425 30
274 33 49
81 293 39
670 299 43
239 369 40
622 794 46
647 431 31
682 190 38
191 257 42
321 157 34
291 347 43
31 621 32
140 254 50
498 125 46
316 716 37
231 539 47
604 738 40
18 621 45
662 12 39
577 685 35
704 176 42
7 559 30
144 699 45
127 750 44
760 618 32
163 49 47
711 205 50
91 575 41
14 789 34
193 118 42
82 22 31
317 30 33
374 526 31
686 653 50
674 614 39
579 777 33
575 688 42
510 332 48
617 346 32
737 91 31
743 173 47
125 491 50
418 417 42
163 655 43
658 530 45
171 661 33
85 789 45
204 51 50
450 668 38
685 606 42
239 549 41
167 226 49
477 196 45
65 360 41
755 570 30
11 742 35
396 379 30
670 584 34
27 234 37
83 472 40
230 263 38
550 430 49
114 459 33
447 524 36
635 32 49
554 43 44
686 440 43
359 662 36
83 241 37
123 324 49
322 554 33
621 657 48
347 771 47
269 418 47
103 253 35
507 359 45
406 597 39
684 508 30
298 591 39
498 715 48
371 589 50
506 410 34
624 309 39
400 578 38
253 681 40
138 389 45
67 347 37
787 231 35
122 81 39
50 579 41
654 150 45
213 657 41
781 481 45
520 433 41
581 687 50
96 25 34
322 92 45
697 432 33
781 106 46
657 508 48
799 362 34
283 576 34
177 109 39
732 182 48
266 763 31
482 411 37
286 285 37
790 183 39
276 516 46
292 725 42
439 725 45
736 560 32
443 737 49
182 221 39
355 488 50
415 170 33
53 8 41
583 350 39
297 627 30
469 471 45
349 110 30
239 398 42
610 393 48
290 576 43
152 131 35
777 99 45
566 152 31
641 735 33
98 584 30
776 605 37
228 154 49
308 393 49
597 555 43
374 45 35
725 197 43
412 527 48
621 293 34
39 134 48
159 585 36
554 561 35
172 341 34
252 650 47
282 799 33
354 373 30
106 651 45
790 263 37
772 437 47
459 28 45
80 187 38
190 741 45
552 465 40
269 717 44
283 551 44
500 106 42
667 564 48
232 554 44
675 79 46
612 538 32
236 170 47
444 360 47
414 465 39
726 286 38
439 569 43
152 621 43
590 489 41
431 273 35
535 148 36
277 313 32
398 549 35
355 193 34
156 160 33
423 86 33
158 77 34
445 581 35
390 723 37
100 354 30
364 442 47
259 719 35
244 669 35
751 576 49
19 733 32
104 356 34
475 66 47
167 512 44
129 102 35
131 202 38
407 118 48
383 377 37
672 173 50
262 125 38
397 496 39
341 153 41
274 180 30
285 348 37
430 29 50
498 160 44
24 119 39
441 502 43
680 726 35
789 540 41
323 138 40
493 31 36
220 305 30
13 591 48
670 221 30
629 271 45
343 295 31
624 288 45
386 169 48
769 510 47
30 33 35
587 79 38
49 299 35
139 664 48
130 86 43
149 715 48
681 611 47
533 787 38
87 373 47
719 342 31
644 724 37
259 63 34
353 112 31
305 604 30
399 734 34
715 435 43
53 669 47
487 402 37
762 489 45
405 760 32
111 157 32
203 416 30
21 322 34
43 179 39
728 578 45
700 45 50
587 99 45
189 586 31
226 548 42
636 506 34
492 617 44
721 20 33
566 394 48
523 437 35
284 717 32
331 617 47
365 756 41
269 145 50
222 371 35
569 559 38
76 252 35
540 525 32
172 291 33
127 366 39
612 650 49
524 533 43
386 99 34
794 368 37
541 142 38
37 263 31
390 339 37
113 431 39
657 604 32
346 283 43
25 95 35
421 172 46
634 558 34
356 552 30
672 646 35
111 683 42
461 625 32
616 739 40
144 596 45
667 494 47
757 519 47
250 492 50
276 679 50
753 235 36
798 107 48
537 570 48
540 584 44
83 400 38
409 96 34
539 763 36
504 273 50
564 523 34
349 351 44
339 304 40
786 302 50
279 391 38
7 484 49
361 119 46
653 528 36
294 619 41
781 323 50
187 439 48
438 788 30
120 680 40
486 218 34
63 498 38
210 505 46
142 66 37
25 272 40
453 566 30
748 547 41
516 286 30
359 277 35
553 397 32
603 435 50
507 498 41
354 261 40
334 403 42
784 428 33
163 433 37
160 381 39
385 97 38
697 8 35
549 113 46
634 716 38
585 775 50
586 330 49
292 216 34
769 552 38
366 715 48
433 428 33
247 13 32
700 262 40
629 363 40
508 197 38
375 782 34
740 120 37
118 765 41
699 734 32
108 653 43
303 286 48
432 534 40
210 434 40
796 615 47
696 324 48
65 251 36
561 543 45
587 661 40
381 560 31
279 220 45
93 524 45
335 508 39
142 270 34
563 266 33
100 515 32
