300 400
283 286 39
115 293 40
286 192 45
121 62 49
290 259 50
226 240 45
172 136 47
68 267 39
182 230 35
223 67 49
29 102 33
258 269 39
193 256 46
142 129 48
21 119 50
37 98 32
215 270 47
226 91 38
56 273 41
170 196 40
105 225 41
27 236 35
46 129 40
257 24 33
282 45 47
267 134 44
243 50 37
108 276 44
188 84 30
251 254 31
132 60 35
168 139 31
226 186 48
239 195 37
134 178 38
201 197 50
117 192 43
56 1 32
86 241 30
89 244 38
40 129 33
217 297 41
81 275 45
127 267 40
197 153 45
65 106 38
119 224 37
171 32 41
3 119 33
168 208 47
40 249 48
23 218 49
146 51 34
155 179 31
164 128 43
50 193 43
134 64 48
214 287 38
243 291 47
265 159 37
232 251 44
28 275 32
174 121 44
295 29 34
135 193 47
128 243 33
228 129 50
4 43 46
113 38 44
40 4 46
228 288 36
117 17 36
224 243 36
83 290 50
172 125 43
90 5 32
254 286 48
182 42 50
97 207 30
4 248 32
122 228 50
243 46 38
40 22 38
10 105 31
61 30 37
5 120 47
244 126 33
65 8 49
282 158 44
237 162 32
0 36 41
299 279 40
68 71 33
131 81 31
133 194 40
63 199 35
299 196 33
273 13 39
290 295 41
266 284 33
190 284 33
42 36 43
45 156 31
18 287 41
148 172 30
9 236 32
42 287 30
201 13 36
121 55 50
199 21 32
139 211 41
167 5 36
227 50 48
58 120 40
22 269 35
181 30 38
292 72 47
50 25 39
122 199 34
242 98 44
98 290 33
290 209 48
219 136 42
55 194 31
179 269 45
176 150 46
160 142 41
184 193 34
221 67 50
13 61 35
126 159 37
284 121 36
168 228 46
172 108 30
198 36 30
253 248 48
90 54 34
246 68 30
200 246 48
197 149 34
103 133 36
197 53 31
186 225 47
196 175 50
57 129 46
60 14 30
60 104 32
127 50 32
256 2 44
297 199 49
239 2 42
3 200 35
47 138 49
251 35 35
139 92 30
27 204 47
49 264 44
229 143 43
177 100 46
71 149 36
167 88 42
95 143 42
129 190 33
140 141 33
26 32 44
42 60 36
123 161 45
9 90 30
296 267 32
234 90 49
124 257 41
68 105 35
212 286 49
246 126 39
16 152 42
229 246 34
47 70 36
180 131 46
157 127 47
286 114 31
212 290 39
279 110 37
189 74 32
41 20 39
87 88 43
166 70 43
56 117 33
160 49 50
105 259 41
18 245 42
73 158 41
137 189 46
7 78 48
214 171 48
0 259 32
238 125 30
174 233 49
181 93 39
70 199 43
139 269 40
22 94 46
247 231 31
282 290 38
91 257 42
221 257 34
191 247 43
231 121 32
140 54 50
98 125 46
231 39 47
4 38 40
18 21 45
162 112 39
177 85 35
204 276 42
107 259 30
244 99 45
227 250 44
160 18 32
63 249 47
111 5 50
91 75 41
114 289 34
93 218 42
82 122 31
17 230 33
74 226 31
186 153 50
174 14 39
179 77 33
275 188 42
110 32 48
17 146 32
37 291 31
143 73 47
225 91 50
18 217 42
263 155 43
158 30 45
71 261 33
285 289 45
204 151 50
250 168 38
285 206 42
239 49 41
67 26 49
177 96 45
265 60 41
155 270 30
111 42 35
196 79 30
170 284 34
227 234 37
183 272 40
130 263 38
150 30 49
14 259 33
147 224 36
135 132 49
154 243 44
186 140 43
259 62 36
183 41 37
223 224 49
222 54 33
21 257 48
147 271 47
69 118 47
103 253 35
107 159 45
206 97 39
84 108 30
298 291 39
198 215 48
71 189 50
206 210 34
124 109 39
0 178 38
153 281 40
138 89 45
67 47 37
187 131 35
122 181 39
150 79 41
154 150 45
213 57 41
281 181 45
20 233 41
281 87 50
196 225 34
22 292 45
297 232 33
81 106 46
157 8 48
199 162 34
183 76 34
77 109 39
132 182 48
66 163 31
282 111 37
286 185 37
90 183 39
76 16 46
192 225 42
139 125 45
236 60 32
143 137 49
282 21 39
55 88 50
215 70 33
53 108 41
183 250 39
297 27 30
269 271 45
249 110 30
39 98 42
10 293 48
90 276 43
52 31 35
177 299 45
166 52 31
41 235 33
98 284 30
276 5 37
28 254 49
8 293 49
297 55 43
174 145 35
125 197 43
112 127 48
221 293 34
139 34 48
59 185 36
254 161 35
172 241 34
252 250 47
182 299 33
54 173 30
6 51 45
290 163 37
272 137 47
59 28 45
80 87 38
190 41 45
252 265 40
269 217 44
83 151 44
200 206 42
267 264 48
232 254 44
75 279 46
212 38 32
136 170 47
244 60 47
214 65 39
126 86 38
39 169 43
252 121 43
90 89 41
31 73 35
135 148 36
77 113 32
98 249 35
155 193 34
56 160 33
223 286 33
58 77 34
45 81 35
290 223 37
200 254 30
64 142 47
259 219 35
244 69 35
151 276 49
119 33 32
204 256 34
75 66 47
167 112 44
31 2 38
107 118 48
83 77 37
172 73 50
262 225 38
297 96 39
141 53 41
74 180 30
85 48 37
230 129 50
298 160 44
124 19 39
41 102 43
280 26 35
289 40 41
223 38 40
293 231 36
20 5 30
113 91 48
70 21 30
129 71 45
243 195 31
