100 140
83 86 39
15 93 40
86 92 45
21 62 49
90 59 50
26 40 45
72 36 47
68 67 39
82 30 35
23 67 49
29 2 33
58 69 39
93 56 46
42 29 48
21 19 50
37 98 32
15 70 47
26 91 38
56 73 41
70 96 40
5 25 41
27 36 35
46 29 40
57 24 33
82 45 47
67 34 44
43 50 37
8 76 44
88 84 30
51 54 31
32 60 35
68 39 31
26 86 48
39 95 37
34 78 38
1 97 50
17 92 43
56 1 32
86 41 30
89 44 38
40 29 33
17 97 41
81 75 45
27 67 40
97 53 45
65 6 38
19 24 37
71 32 41
3 19 33
68 8 47
40 49 48
23 18 49
46 51 34
55 79 31
64 28 43
50 93 43
34 64 48
14 87 38
43 91 47
65 59 37
32 51 44
28 75 32
74 21 44
95 29 34
35 93 47
28 43 33
28 29 50
4 43 46
13 38 44
40 4 46
28 88 36
24 43 36
83 90 50
72 25 43
90 5 32
54 86 48
82 42 50
97 7 30
4 48 32
22 28 50
43 46 38
40 22 38
10 5 31
61 30 37
5 20 47
44 26 33
65 8 49
82 58 44
37 62 32
0 36 41
99 79 40
68 71 33
31 81 31
33 94 40
63 99 35
99 96 33
73 13 39
90 95 41
66 84 33
90 84 33
42 36 43
45 56 31
18 87 41
48 72 30
9 36 32
42 87 30
1 13 36
21 55 50
99 21 32
39 11 41
67 5 36
27 50 48
58 20 40
22 69 35
81 30 38
92 72 47
50 25 39
22 99 34
42 98 44
98 90 33
90 9 48
19 36 42
55 94 31
79 69 45
76 50 46
60 42 41
84 93 34
21 67 50
13 61 35
26 59 37
84 21 36
68 28 46
72 8 30
98 36 30
53 48 48
90 54 34
46 68 30
0 46 48
97 49 34
3 33 36
