900 1100
883 286 39
115 293 40
586 192 45
721 662 49
590 259 50
526 240 45
772 136 47
368 267 39
782 530 35
823 667 49
329 702 33
858 869 39
793 556 46
142 429 48
621 119 50
337 698 32
515 570 47
226 91 38
656 873 41
770 796 40
105 225 41
627 236 35
646 129 40
857 324 33
882 45 47
267 434 44
843 50 37
708 276 44
788 84 30
551 854 31
132 60 35
468 739 31
826 486 48
839 495 37
434 478 38
201 797 50
717 792 43
56 601 32
386 541 30
689 244 38
40 429 33
517 897 41
381 875 45
427 867 40
797 453 45
365 706 38
419 524 37
471 632 41
3 119 33
468 808 47
40 849 48
623 518 49
146 51 34
155 479 31
764 428 43
50 793 43
134 364 48
214 887 38
843 891 47
265 459 37
832 551 44
28 275 32
174 421 44
295 629 34
435 493 47
128 543 33
528 729 50
604 43 46
413 38 44
340 304 46
228 288 36
117 317 36
524 543 36
83 890 50
172 425 43
690 605 32
254 286 48
182 42 50
97 507 30
4 848 32
422 228 50
543 346 38
40 22 38
10 105 31
661 330 37
5 120 47
844 426 33
665 608 49
582 758 44
537 762 32
0 336 41
599 879 40
668 71 33
431 81 31
133 794 40
363 799 35
299 796 33
573 613 39
890 295 41
866 884 33
790 884 33
42 636 43
645 456 31
318 887 41
148 172 30
309 536 32
642 887 30
501 613 36
121 655 50
499 621 32
739 511 41
467 605 36
227 350 48
58 720 40
22 869 35
781 330 38
592 72 47
350 625 39
722 799 34
542 398 44
398 290 33
290 809 48
819 136 42
55 194 31
179 269 45
476 150 46
460 742 41
484 193 34
221 67 50
613 661 35
726 159 37
884 421 36
768 528 46
472 708 30
198 336 30
253 848 48
390 654 34
246 368 30
500 246 48
197 749 34
703 733 36
497 653 31
486 225 47
796 475 50
357 729 46
660 314 30
360 704 32
127 50 32
556 602 44
297 799 49
539 602 42
303 200 35
647 738 49
851 635 35
439 92 30
27 804 47
49 264 44
829 443 43
177 100 46
671 449 36
167 88 42
395 443 42
429 190 33
740 141 33
626 632 44
342 660 36
423 761 45
309 690 30
296 867 32
834 690 49
424 857 41
668 405 35
212 886 49
546 726 39
616 452 42
829 846 34
47 370 36
480 731 46
457 127 47
586 114 31
212 590 39
879 410 37
189 674 32
641 320 39
387 88 43
766 70 43
56 117 33
160 649 50
105 259 41
18 845 42
673 158 41
437 189 46
607 378 48
814 171 48
0 559 32
538 425 30
174 533 49
181 693 39
70 799 43
139 869 40
322 694 46
247 231 31
582 890 38
691 857 42
221 857 34
791 547 43
531 721 32
440 54 50
98 125 46
16 316 37
831 639 47
4 38 40
318 621 45
162 412 39
177 685 35
804 576 42
107 259 30
844 699 45
527 850 44
160 18 32
663 849 47
111 5 50
691 375 41
414 589 34
93 818 42
682 722 31
17 830 33
74 826 31
186 453 50
474 614 39
179 377 33
575 488 42
110 332 48
317 746 32
37 891 31
443 673 47
525 691 50
18 817 42
263 155 43
458 630 45
671 861 33
885 589 45
204 751 50
850 168 38
285 206 42
539 649 41
667 326 49
777 396 45
865 660 41
455 270 30
711 42 35
496 79 30
770 284 34
527 234 37
183 572 40
730 263 38
150 30 49
314 859 33
447 824 36
735 432 49
754 243 44
786 740 43
559 662 36
183 341 37
823 524 49
822 354 33
621 557 48
747 871 47
369 418 47
703 253 35
407 159 45
206 97 39
84 708 30
298 891 39
798 815 48
71 789 50
506 510 34
124 409 39
600 778 38
153 581 40
138 89 45
367 347 37
487 431 35
422 781 39
750 679 41
754 750 45
213 357 41
281 481 45
320 233 41
881 387 50
796 525 34
22 892 45
297 532 33
381 106 46
457 8 48
499 762 34
483 76 34
77 409 39
132 782 48
66 763 31
582 711 37
286 785 37
390 183 39
76 616 46
492 225 42
739 725 45
836 360 32
443 437 49
582 621 39
55 688 50
815 370 33
353 708 41
783 250 39
897 327 30
269 871 45
549 710 30
639 698 42
10 293 48
690 876 43
352 31 35
777 899 45
166 352 31
341 235 33
698 284 30
876 605 37
328 254 49
608 893 49
297 55 43
474 745 35
425 197 43
112 127 48
221 293 34
139 634 48
359 485 36
854 461 35
472 841 34
852 550 47
182 899 33
654 473 30
306 51 45
890 163 37
572 437 47
659 628 45
80 87 38
790 41 45
252 565 40
869 517 44
683 751 44
500 506 42
267 864 48
232 854 44
375 579 46
812 338 32
136 470 47
844 360 47
214 665 39
426 686 38
339 469 43
252 121 43
690 389 41
331 673 35
135 148 36
377 113 32
398 249 35
455 193 34
656 460 33
523 886 33
58 377 34
345 681 35
290 523 37
200 854 30
64 142 47
559 519 35
544 69 35
151 576 49
119 333 32
804 856 34
375 66 47
467 412 44
629 702 35
331 2 38
707 118 48
383 677 37
172 373 50
262 525 38
597 696 39
441 653 41
374 180 30
685 648 37
830 429 50
598 760 44
424 619 39
341 102 43
880 326 35
589 640 41
823 338 40
593 831 36
320 305 30
113 91 48
370 21 30
429 671 45
543 195 31
724 588 45
786 569 48
269 310 47
330 233 35
187 879 38
749 299 35
539 464 48
130 886 43
149 415 48
81 111 47
633 887 38
387 773 47
519 142 31
444 524 37
759 763 34
53 612 31
605 304 30
399 434 34
215 635 43
753 769 47
587 502 37
162 889 45
305 560 32
811 157 32
703 16 30
521 122 34
743 779 39
528 278 45
300 545 50
487 399 45
889 86 31
326 248 42
536 606 34
92 517 44
121 320 33
66 894 48
623 737 35
584 417 32
131 717 47
365 356 41
469 345 50
122 671 35
769 359 38
176 452 35
640 625 32
272 691 33
27 466 39
612 150 49
524 333 43
186 699 34
194 268 37
341 442 38
737 363 31
890 539 37
713 331 39
857 604 32
146 683 43
225 395 35
721 72 46
134 258 34
856 452 30
72 846 35
11 683 42
361 725 32
316 539 40
844 496 45
367 694 47
357 19 47
550 792 50
176 79 50
553 35 36
298 107 48
537 170 48
240 584 44
483 0 38
209 896 34
539 363 36
704 773 50
364 423 34
149 651 44
139 304 40
686 602 50
279 291 38
607 584 49
761 219 46
553 428 36
894 119 41
181 823 50
387 339 48
538 488 30
820 680 40
186 518 34
663 798 38
410 505 46
742 366 37
225 72 40
553 66 30
448 247 41
216 686 30
459 377 35
453 297 32
803 535 50
7 298 41
454 761 40
534 603 42
884 828 33
763 533 37
760 81 39
785 297 38
197 808 35
149 413 46
834 316 38
185 375 50
386 830 49
192 516 34
469 552 38
766 415 48
333 328 33
147 213 32
700 462 40
729 663 40
208 597 38
275 782 34
640 320 37
18 565 41
899 134 32
