1000 1250
383 886 39
915 793 40
386 492 45
421 362 49
690 59 50
926 540 45
172 736 47
368 567 39
782 530 35
123 67 49
929 802 33
58 69 39
393 456 46
42 229 48
421 919 50
537 198 32
315 370 47
526 91 38
956 873 41
170 996 40
305 925 41
327 336 35
846 729 40
857 124 33
582 545 47
367 434 44
43 750 37
808 276 44
788 584 30
651 754 31
932 60 35
368 739 31
226 586 48
539 795 37
434 378 38
601 97 50
317 492 43
756 301 32
286 441 30
689 444 38
440 729 33
117 97 41
481 675 45
927 567 40
497 353 45
965 306 38
219 624 37
871 732 41
503 19 33
368 708 47
340 149 48
723 618 49
846 451 34
555 379 31
764 228 43
350 193 43
34 764 48
914 987 38
743 491 47
365 859 37
432 551 44
228 275 32
474 121 44
395 29 34
235 793 47
428 143 33
928 529 50
404 443 46
613 538 44
840 904 46
128 688 36
324 743 36
183 490 50
772 725 43
590 505 32
954 786 48
82 542 50
197 507 30
804 348 32
622 828 50
343 746 38
340 422 38
810 605 31
661 730 37
305 320 47
444 626 33
465 708 49
282 258 44
637 62 32
600 36 41
899 379 40
468 71 33
131 881 31
933 894 40
163 199 35
899 996 33
773 813 39
190 95 41
466 84 33
90 684 33
542 936 43
445 756 31
418 887 41
348 172 30
9 336 32
342 587 30
301 713 36
321 255 50
599 721 32
939 811 41
667 705 36
127 150 48
658 920 40
422 269 35
81 630 38
292 972 47
850 625 39
222 299 34
42 898 44
298 190 33
590 209 48
819 336 42
155 994 31
379 769 45
776 850 46
860 142 41
884 993 34
621 567 50
613 961 35
326 259 37
784 21 36
868 528 46
872 908 30
498 36 30
753 248 48
333 133 41
890 754 34
746 368 30
500 46 48
797 249 34
303 33 36
497 253 31
686 125 47
996 975 50
157 729 46
460 414 30
460 304 32
27 50 32
556 902 44
697 699 49
39 2 42
403 500 35
647 538 49
151 535 35
339 692 30
127 504 47
49 964 44
429 343 43
177 900 46
971 949 36
367 988 42
795 743 42
829 390 33
340 541 33
826 232 44
42 360 36
23 761 45
309 190 30
996 367 32
234 690 49
524 57 41
168 205 35
312 386 49
346 726 39
916 552 42
529 946 34
647 970 36
80 631 46
857 627 47
886 214 31
512 90 39
479 610 37
189 274 32
641 620 39
987 888 43
566 770 43
856 417 33
260 849 50
205 59 41
518 945 42
873 458 41
637 289 46
607 478 48
314 471 48
100 459 32
438 25 30
74 233 49
681 493 39
270 699 43
839 569 40
622 794 46
847 431 31
682 390 38
791 57 42
521 157 34
491 947 43
231 21 32
740 54 50
98 325 46
231 139 47
404 338 40
218 21 45
862 812 39
977 685 35
904 176 42
207 759 30
744 499 45
127 950 44
560 818 32
563 49 47
711 805 50
291 375 41
614 589 34
993 918 42
